idx,imu_Timestamp[sec],mag_Timestamp[sec],accX[m/s^2],accY[m/s^2],accZ[m/s^2],gyroX[deg/s],gyroY[deg/s],gyroZ[deg/s],magX[uT],magY[uT],magZ[uT],orX[deg],orY[deg],orZ[deg],moving, 
2802,7.092518000,7.084439000,-0.531629562,0.288460314,9.781665802,3.244386196,1.171291232,22.280828476,-0.500000000,-4.312500000,-4.375000000,-89.424957275,22.960269928,-0.764904857,1.000000000,
2804,7.097578000,7.084439000,-0.497955233,-0.338094592,8.911885262,-2.827910185,0.786327660,21.981142044,-0.500000000,-4.312500000,-4.375000000,-89.426795959,23.074628830,-0.769205689,1.000000000,
2806,7.102638000,7.084439000,0.304665089,-0.387824386,8.871323586,-1.974206686,5.402187347,20.107591629,-0.500000000,-4.312500000,-4.375000000,-89.440559387,23.176036835,-0.790732145,1.000000000,
2807,7.105168000,7.084439000,0.665915847,-0.280592322,9.200172424,-3.811768532,2.157400370,19.268171310,-0.500000000,-4.312500000,-4.375000000,-89.451118469,23.224222183,-0.792114615,1.000000000,
2809,7.110228000,7.104679000,0.874847233,0.248280853,10.177087784,-1.102982402,-2.594180822,18.888456345,-0.375000000,-4.375000000,-4.312500000,-89.463676453,23.318164825,-0.768735230,1.000000000,
2811,7.115288000,7.104679000,0.270163298,0.688718677,10.930103302,4.550029755,-0.776719749,18.913143158,-0.375000000,-4.375000000,-4.312500000,-89.444862366,23.414442062,-0.757553220,1.000000000,
2813,7.120348000,7.104679000,-0.638094306,0.426346213,10.489305496,1.840849161,-1.128327131,22.761739731,-0.375000000,-4.375000000,-4.312500000,-89.425270081,23.522268295,-0.741366029,1.000000000,
2815,7.125408000,7.104679000,-0.727194905,-0.119125150,9.517056465,1.869647741,2.791409731,22.102924347,-0.375000000,-4.375000000,-4.312500000,-89.409812927,23.635801315,-0.750200748,1.000000000,
2817,7.130468000,7.124919000,-0.225385368,-0.633559108,8.795068741,-3.684009790,1.494575143,20.121065140,-0.437500000,-4.375000000,-4.375000000,-89.418075562,23.737428665,-0.766285539,1.000000000,
2819,7.135528000,7.124919000,0.126240700,-0.543016553,9.116768837,-2.964220524,-1.118932128,17.937538147,-0.437500000,-4.375000000,-4.375000000,-89.441619873,23.830062866,-0.761505663,1.000000000,
2821,7.140588000,7.124919000,-0.385813802,0.066546865,10.158173561,0.269740283,-0.324527383,18.318040848,-0.437500000,-4.375000000,-4.375000000,-89.450370789,23.921325684,-0.761064231,1.000000000,
2823,7.145648000,7.124919000,-1.230435491,0.506928563,10.858764648,0.704066396,-1.186798096,22.677877426,-0.437500000,-4.375000000,-4.375000000,-89.448974609,24.028406143,-0.755870283,1.000000000,
2824,7.148178000,7.145159000,-1.402770996,0.590293884,10.899275780,3.057018995,3.105826139,24.035223007,-0.437500000,-4.375000000,-4.375000000,-89.440559387,24.088575363,-0.766948104,1.000000000,
2826,7.153238000,7.145159000,-0.876619756,0.247597799,10.255725861,3.542910099,1.668631434,22.196901321,-0.437500000,-4.375000000,-4.312500000,-89.418518066,24.202827454,-0.787329555,1.000000000,
2828,7.158298000,7.145159000,0.222553596,-0.316469878,9.204837799,-1.311297774,0.076496944,21.367584229,-0.437500000,-4.375000000,-4.312500000,-89.420646667,24.312747955,-0.796447039,1.000000000,
2830,7.163358000,7.145159000,0.813112855,-0.389967561,8.949760437,-0.075199127,-1.051523805,16.970394135,-0.437500000,-4.375000000,-4.312500000,-89.425941467,24.402301788,-0.789111614,1.000000000,
2832,7.168418000,7.165399000,0.028920462,-0.104338840,9.300056458,-2.658802271,-3.521805048,18.913505554,-0.437500000,-4.375000000,-4.312500000,-89.437484741,24.492927551,-0.770788789,1.000000000,
2834,7.173478000,7.165399000,-1.017082810,0.400232345,9.977068901,0.355180413,3.685364246,22.897602081,-0.437500000,-4.375000000,-4.375000000,-89.443412781,24.600500107,-0.773648322,1.000000000,
2836,7.178538000,7.165399000,-0.965436995,0.562241077,10.222514153,2.006095648,3.175944567,23.595575333,-0.437500000,-4.375000000,-4.375000000,-89.429389954,24.720045090,-0.803951561,1.000000000,
2837,7.181068000,7.165399000,-0.414927244,0.419531196,10.098449707,-0.503160596,0.723136246,24.139835358,-0.437500000,-4.375000000,-4.375000000,-89.428680420,24.780418396,-0.808719516,1.000000000,
2839,7.186128000,7.165399000,1.199347019,0.157951742,9.910196304,0.322542936,0.861857414,20.298519135,-0.437500000,-4.375000000,-4.375000000,-89.427032471,24.890583038,-0.813542962,1.000000000,
2841,7.191188000,7.185639000,1.809766173,0.048547082,9.776799202,-0.054587424,-2.720269203,16.321792603,-0.437500000,-4.375000000,-4.250000000,-89.420135498,24.971202850,-0.792653382,1.000000000,
2843,7.196248000,7.185639000,0.644830585,0.112523474,9.738672256,-1.439492702,-4.357192993,18.418966293,-0.437500000,-4.375000000,-4.250000000,-89.426376343,25.061676025,-0.764329374,1.000000000,
2845,7.201308000,7.185639000,-0.876271844,0.421856016,9.872117996,3.636924982,5.519759178,22.042669296,-0.437500000,-4.375000000,-4.250000000,-89.411735535,25.167242050,-0.767310202,1.000000000,
2847,7.206366000,7.185639000,-1.059831262,0.190664724,9.607608795,-0.411745638,0.938612521,24.261445999,-0.437500000,-4.375000000,-4.250000000,-89.401115417,25.287891388,-0.782586455,1.000000000,
2849,7.211421000,7.205874000,0.101424471,-0.280967295,9.400443077,-0.860111415,2.093659878,21.304527283,-0.437500000,-4.312500000,-4.375000000,-89.403305054,25.402132034,-0.795977414,1.000000000,
2851,7.216476000,7.205874000,0.934043586,-0.442911237,9.588697433,-0.818673790,-3.507714510,14.856727600,-0.437500000,-4.312500000,-4.375000000,-89.405250549,25.479581833,-0.774964929,1.000000000,
2853,7.221531000,7.205874000,0.053900227,-0.183511004,9.924644470,-3.132441759,-2.375329733,19.140756607,-0.437500000,-4.312500000,-4.375000000,-89.423042297,25.569467545,-0.754095137,1.000000000,
2855,7.226586000,7.205874000,-1.318260431,0.371159762,10.570426941,2.051935673,3.471784115,22.260404587,-0.437500000,-4.312500000,-4.375000000,-89.420928955,25.674484253,-0.759204566,1.000000000,
2856,7.229113000,7.226094000,-1.586343050,0.475936741,10.632383347,2.649517059,6.577301979,24.562755585,-0.437500000,-4.312500000,-4.375000000,-89.413650513,25.736057281,-0.778819203,1.000000000,
2858,7.234168000,7.226094000,-0.739442110,0.259457260,10.358293533,0.840261877,0.162117377,24.035337448,-0.375000000,-4.312500000,-4.312500000,-89.405006409,25.857831955,-0.793640435,1.000000000,
2860,7.239223000,7.226094000,0.678521991,-0.216543168,9.762552261,2.211188078,-1.757969856,18.376396179,-0.375000000,-4.312500000,-4.312500000,-89.394050598,25.957923889,-0.799030781,1.000000000,
2862,7.244278000,7.226094000,0.615650713,-0.557225466,9.209754944,-1.531836390,-5.501274586,15.546538353,-0.375000000,-4.312500000,-4.312500000,-89.398292542,26.033578873,-0.763387561,1.000000000,
2864,7.249333000,7.246314000,-0.942027211,-0.297908306,9.226435661,-1.240123153,1.123909950,19.477594376,-0.375000000,-4.312500000,-4.312500000,-89.413948059,26.127901077,-0.758104861,1.000000000,
2866,7.254388000,7.246314000,-1.992198944,0.185544148,9.586213112,0.620066345,6.827246666,24.845159531,-0.375000000,-4.312500000,-4.312500000,-89.412628174,26.245290756,-0.791192412,1.000000000,
2868,7.259443000,7.246314000,-0.861369014,0.288256258,9.967486382,-1.354104280,2.448405743,25.359283447,-0.375000000,-4.312500000,-4.312500000,-89.418876648,26.376247406,-0.817170203,1.000000000,
2870,7.264498000,7.246314000,1.307226062,0.217307329,10.360625267,1.355584621,0.221474573,19.153032303,-0.375000000,-4.312500000,-4.312500000,-89.416778564,26.480188370,-0.821747720,1.000000000,
2872,7.269553000,7.266534000,1.989761114,0.117466599,10.270072937,0.913672090,-6.651297092,15.189528465,-0.375000000,-4.312500000,-4.312500000,-89.409950256,26.556257248,-0.786083817,1.000000000,
2873,7.272081000,7.266534000,1.384354830,0.084027909,9.996031761,-0.319447339,-4.434913158,16.953615189,-0.375000000,-4.250000000,-4.375000000,-89.410453796,26.598531723,-0.770147502,1.000000000,
